Tank,N & P,Size,Treatment,Schisto,Week,Snail,Total_Biomass,Cercarial_production,Infected_abundance,Sampling_Effort,Eggs,Phyto_F,Peri_F,Snail_density,Biomass_density
20,Low,Intermediate,Low-Intermediate,No,3,119,517.3247544,0,0,6,1,196.3333333,649.6666667,60,258.6623772
21,High,Intermediate,High-Intermediate,Yes,3,36,361.9239547,0,0,6,9,996.6666667,10880.66667,18,180.9619774
22,High,Small,High-Small,Yes,3,23,314.045446,0,0,6,12,432.6666667,2442.333333,12,157.022723
23,High,Intermediate,High-Intermediate,No,3,33,397.5064936,0,0,6,40,810.6666667,2118.666667,17,198.7532468
24,High,Intermediate,High-Intermediate,Yes,3,101,198.1260486,0,0,6,0,5152,9586.333333,51,99.0630243
25,Low,Small,Low-Small,Yes,3,9,176.9285969,0,0,6,6,154,673.6666667,5,88.46429845
26,Low,Small,Low-Small,Yes,3,18,321.3680413,0,0,6,4,100.3333333,228,9,160.6840207
27,Low,Large,Low-Large,Yes,3,46,309.8222542,0,0,6,14,75.33333333,470,23,154.9111271
28,High,Small,High-Small,Yes,3,6,123.6987807,0,0,6,24,575,2458.333333,3,61.84939035
29,Low,Small,Low-Small,No,3,6,94.1212677,0,0,6,42,200,526,3,47.06063385
30,Low,Small,Low-Small,Yes,3,14,175.0219477,0,0,6,4,355.3333333,4832,7,87.51097385
31,High,Large,High-Large,Yes,3,17,550.0082861,0,0,6,18,1997,3920,9,275.0041431
32,High,Small,High-Small,Yes,3,8,128.6150803,0,0,6,31,1791.666667,17191.66667,4,64.30754015
33,Low,Intermediate,Low-Intermediate,Yes,3,115,1091.906767,0,0,6,30,183.3333333,511,58,545.9533835
34,Low,Intermediate,Low-Intermediate,Yes,3,25,555.1146837,0,0,6,6,105,572,13,277.5573419
35,High,Large,High-Large,No,3,92,1318.585126,0,0,6,41,896,5128.333333,46,659.292563
36,Low,Large,Low-Large,Yes,3,141,710.8626443,0,0,6,0,479,2063.333333,71,355.4313222
37,High,Intermediate,High-Intermediate,Yes,3,97,348.2031183,0,0,6,0,3154.666667,14187.33333,49,174.1015592
38,High,Small,High-Small,No,3,21,611.0582183,0,0,6,87,1321,17540.33333,11,305.5291092
39,High,Large,High-Large,Yes,3,33,680.3769924,0,0,6,13,148.6666667,8337.333333,17,340.1884962
40,Low,Intermediate,Low-Intermediate,Yes,3,215,1241.154109,0,0,6,16,83.66666667,896.3333333,108,620.5770545
41,High,Intermediate,High-Intermediate,Yes,3,42,656.54327,0,0,6,37,1272.333333,3046,21,328.271635
42,High,Large,High-Large,Yes,3,147,792.218192,0,0,3,3,450,333.3333333,147,792.218192
43,High,Intermediate,High-Intermediate,Yes,3,61,437.9392523,0,0,6,7,615.3333333,6522.333333,31,218.9696262
44,High,Large,High-Large,Yes,3,261,585.4000655,0,0,6,1,5393.333333,2059,131,292.7000328
45,Low,Large,Low-Large,Yes,3,228,557.0627608,0,0,6,0,145.6666667,524,114,278.5313804
46,High,Intermediate,High-Intermediate,Yes,3,73,572.5295353,0,0,6,47,133.3333333,1424,37,286.2647677
47,Low,Small,Low-Small,No,3,18,477.6094426,0,0,6,6,313,741.6666667,9,238.8047213
48,High,Intermediate,High-Intermediate,No,3,29,600.5640597,0,0,6,12,477.3333333,1946.666667,15,300.2820299
1,High,Small,High-Small,No,4,5,128.36616,0,0,3,37,1021,2044.666667,5,128.36616
2,Low,Intermediate,Low-Intermediate,Yes,4,38,324.5019403,0,0,3,9,160,1060.666667,38,324.5019403
3,Low,Intermediate,Low-Intermediate,Yes,4,44,49.44147194,0,0,3,0,177.6666667,1486,44,49.44147194
4,High,Small,High-Small,Yes,4,8,239.0860756,1678,3,3,22,234.3333333,11614.66667,8,239.0860756
5,High,Small,High-Small,Yes,4,19,804.799077,198,1,3,8,296,6856.666667,19,804.799077
6,Low,Small,Low-Small,Yes,4,47,573.1590881,18352,7,3,10,256,618.3333333,47,573.1590881
7,High,Large,High-Large,No,4,75,517.992792,0,0,3,1,967,2506,75,517.992792
8,Low,Large,Low-Large,Yes,4,58,240.7058324,0,0,3,0,509.6666667,2167,58,240.7058324
9,Low,Small,Low-Small,Yes,4,18,295.2868375,393,1,3,0,204.6666667,1289,18,295.2868375
10,Low,Small,Low-Small,Yes,4,1,2.724983628,0,0,3,0,91.33333333,8402.333333,1,2.724983628
11,High,Large,High-Large,Yes,4,153,189.3591278,1408,1,3,0,829,945.3333333,153,189.3591278
12,Low,Large,Low-Large,No,4,67,578.4643539,0,0,3,1,130.3333333,416,67,578.4643539
13,Low,Intermediate,Low-Intermediate,Yes,4,22,189.4255583,0,0,3,0,441,752.6666667,22,189.4255583
14,High,Small,High-Small,Yes,4,7,251.6291377,3555,3,3,23,749,3848.333333,7,251.6291377
15,Low,Large,Low-Large,No,4,65,1343.348059,0,0,3,0,90,471.6666667,65,1343.348059
16,Low,Intermediate,Low-Intermediate,No,4,67,417.7674165,0,0,3,0,341.6666667,680,67,417.7674165
17,Low,Large,Low-Large,Yes,4,114,377.1548712,129,1,3,0,255.3333333,430.3333333,114,377.1548712
18,High,Large,High-Large,Yes,4,65,626.6416404,2115,2,3,5,167.3333333,726.6666667,65,626.6416404
19,Low,Large,Low-Large,Yes,4,92,981.0393663,0,0,3,0,101.3333333,355.3333333,92,981.0393663
20,Low,Intermediate,Low-Intermediate,No,4,54,370.2236366,0,0,3,0,361.3333333,614.6666667,54,370.2236366
21,High,Intermediate,High-Intermediate,Yes,4,22,527.6813315,2277,2,3,17,430,5013.666667,22,527.6813315
22,High,Small,High-Small,Yes,4,35,113.5478998,0,0,3,24,170.3333333,4503.666667,35,113.5478998
23,High,Intermediate,High-Intermediate,No,4,28,593.7090051,0,0,3,37,105,541.3333333,28,593.7090051
24,High,Intermediate,High-Intermediate,Yes,4,55,117.5313441,4209,3,3,0,6016,7408.333333,55,117.5313441
25,Low,Small,Low-Small,Yes,4,13,433.1653008,3095,4,3,1,280,834,13,433.1653008
26,Low,Small,Low-Small,Yes,4,16,652.2101185,9493,9,3,8,91.66666667,308,16,652.2101185
27,Low,Large,Low-Large,Yes,4,32,503.0475791,2733,1,3,0,78.33333333,770.3333333,32,503.0475791
28,High,Small,High-Small,Yes,4,6,286.1578592,0,0,3,10,149.3333333,2047,6,286.1578592
29,Low,Small,Low-Small,No,4,3,57.71417564,0,0,3,21,321.3333333,903,3,57.71417564
30,Low,Small,Low-Small,Yes,4,12,475.7521318,800,2,3,9,48.33333333,441.6666667,12,475.7521318
31,High,Large,High-Large,Yes,4,34,515.7295443,853,1,3,20,3123,7400,34,515.7295443
32,High,Small,High-Small,Yes,4,7,160.3063055,1515,4,3,13,230.6666667,3079.333333,7,160.3063055
33,Low,Intermediate,Low-Intermediate,Yes,4,33,309.8464821,0,0,3,1,152.6666667,460,33,309.8464821
34,Low,Intermediate,Low-Intermediate,Yes,4,41,1424.348213,633,7,3,3,276,1979.333333,41,1424.348213
35,High,Large,High-Large,No,4,57,869.9703824,0,0,3,22,2022,10600.33333,57,869.9703824
36,Low,Large,Low-Large,Yes,4,62,538.9465059,0,0,3,0,78.66666667,384,62,538.9465059
37,High,Intermediate,High-Intermediate,Yes,4,69,179.1713,4204,2,3,2,5527.666667,6507.333333,69,179.1713
38,High,Small,High-Small,No,4,31,821.5787462,0,0,3,28,5321,2703.666667,31,821.5787462
39,High,Large,High-Large,Yes,4,37,324.4356652,7856,3,3,6,542,1919.333333,37,324.4356652
40,Low,Intermediate,Low-Intermediate,Yes,4,61,504.4089269,2965,3,3,0,114,1226.333333,61,504.4089269
41,High,Intermediate,High-Intermediate,Yes,4,49,365.2887156,0,0,3,13,479,3041,49,365.2887156
42,High,Large,High-Large,Yes,4,79,438.1915477,0,0,3,0,67.33333333,755.6666667,79,438.1915477
43,High,Intermediate,High-Intermediate,Yes,4,24,563.5412775,295,2,3,38,86.66666667,1410.666667,24,563.5412775
44,High,Large,High-Large,Yes,4,138,310.0243348,0,0,3,0,5783.666667,2644.666667,138,310.0243348
45,Low,Large,Low-Large,Yes,4,53,422.6365002,1266,2,3,0,113.6666667,1357.666667,53,422.6365002
46,High,Intermediate,High-Intermediate,Yes,4,92,556.7155367,0,0,3,22,465,1842,92,556.7155367
47,Low,Small,Low-Small,No,4,4,78.75613876,0,0,3,2,315.3333333,768.3333333,4,78.75613876
48,High,Intermediate,High-Intermediate,No,4,13,398.1895401,0,0,3,21,126,1818,13,398.1895401
1,High,Small,High-Small,No,5,37,287.3267897,0,0,3,69,724.3333333,3112.666667,37,287.3267897
2,Low,Intermediate,Low-Intermediate,Yes,5,85,648.6790139,0,0,3,0,139.3333333,389.6666667,85,648.6790139
3,Low,Intermediate,Low-Intermediate,Yes,5,42,470.2934729,1222,2,3,0,81.66666667,3027,42,470.2934729
4,High,Small,High-Small,Yes,5,6,274.8066707,55,1,3,11,137.3333333,5197.666667,6,274.8066707
5,High,Small,High-Small,Yes,5,11,598.1512617,33,2,3,13,152.3333333,4849.666667,11,598.1512617
6,Low,Small,Low-Small,Yes,5,69,500.2878665,756,2,3,0,297.3333333,574,69,500.2878665
7,High,Large,High-Large,No,5,102,422.9655352,0,0,3,0,631.3333333,807.6666667,102,422.9655352
8,Low,Large,Low-Large,Yes,5,57,128.216399,259,1,3,0,721.6666667,904,57,128.216399
9,Low,Small,Low-Small,Yes,5,90,125.6967768,103,1,3,0,302,623,90,125.6967768
10,Low,Small,Low-Small,Yes,5,0,0,0,0,3,0,79.66666667,7018.666667,0,0
11,High,Large,High-Large,Yes,5,144,294.3549362,0,0,3,0,486,845,144,294.3549362
12,Low,Large,Low-Large,No,5,85,549.3233356,0,0,3,0,360.6666667,422,85,549.3233356
13,Low,Intermediate,Low-Intermediate,Yes,5,44,259.5350542,0,0,3,0,410,806.6666667,44,259.5350542
14,High,Small,High-Small,Yes,5,14,239.4530108,776,1,3,19,375,1466.333333,14,239.4530108
